"dataset","model","prompt_type","num_samples","tflint_run_rate","trivy_run_rate","mean_tflint_total","mean_tflint_error","mean_tflint_warning","mean_tflint_notice","mean_tflint_info","mean_trivy_total","mean_trivy_critical","mean_trivy_high","mean_trivy_medium","mean_trivy_low","mean_trivy_unknown"
"iac_eval_paraphrased","glm-4.7","cot","451","0.9933","1.0","1.4967","0.0","1.4967","0.0","0.0","4.4989","0.3925","1.7228","1.122","1.2616","0.0"
"iac_eval_paraphrased","glm-4.7","few-shot","440","0.9955","1.0","2.3841","0.0","2.3841","0.0","0.0","4.075","0.2227","1.7477","1.0932","1.0114","0.0"
"iac_eval_paraphrased","glm-4.7","zero-shot","451","0.9911","1.0","1.7871","0.0","1.7871","0.0","0.0","4.5565","0.3947","1.7494","1.1308","1.2816","0.0"
"iac_eval_paraphrased","grok-4.1-fast","cot","451","0.9889","1.0","1.2062","0.0","1.2062","0.0","0.0","5.5055","0.5122","1.8736","1.1286","1.9911","0.0"
"iac_eval_paraphrased","grok-4.1-fast","few-shot","80","0.9875","1.0","2.6125","0.0","2.6125","0.0","0.0","4.3","0.2125","1.6625","1.0125","1.4125","0.0"
"iac_eval_paraphrased","grok-4.1-fast","zero-shot","140","0.9286","0.2286","1.3429","0.0","1.3429","0.0","0.0","1.2","0.0786","0.4786","0.25","0.3929","0.0"
"iac_eval_paraphrased","kimi-k2.5","cot","40","0.675","0.025","0.35","0.0","0.35","0.0","0.0","0.2","0.0","0.125","0.0","0.075","0.0"
"iac_eval_paraphrased","kimi-k2.5","few-shot","451","1.0","1.0","2.3814","0.0","2.3814","0.0","0.0","4.4945","0.286","1.8137","1.0443","1.3503","0.0"
"iac_eval_paraphrased","kimi-k2.5","zero-shot","451","0.9978","1.0","1.8825","0.0","1.8825","0.0","0.0","5.2616","0.4279","1.9401","1.0843","1.8093","0.0"
"iac_eval_paraphrased","ministral-8b","cot","20","0.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
