scenario_id,model,prompt_type,dataset,ics,n_constraints
iac_eval_0079,claude-4.5-sonnet,zero-shot,iac_eval,1.0,7
iac_eval_0080,claude-4.5-sonnet,zero-shot,iac_eval,1.0,9
iac_eval_0081,claude-4.5-sonnet,zero-shot,iac_eval,0.7647058823529411,17
iac_eval_0082,claude-4.5-sonnet,zero-shot,iac_eval,0.7647058823529411,17
iac_eval_0083,claude-4.5-sonnet,zero-shot,iac_eval,0.9230769230769231,13
iac_eval_0084,claude-4.5-sonnet,zero-shot,iac_eval,1.0,13
iac_eval_0085,claude-4.5-sonnet,zero-shot,iac_eval,1.0,13
iac_eval_0086,claude-4.5-sonnet,zero-shot,iac_eval,1.0,2
iac_eval_0087,claude-4.5-sonnet,zero-shot,iac_eval,0.3333333333333333,3
iac_eval_0088,claude-4.5-sonnet,zero-shot,iac_eval,1.0,3
iac_eval_0089,claude-4.5-sonnet,zero-shot,iac_eval,0.0,2
iac_eval_0090,claude-4.5-sonnet,zero-shot,iac_eval,0.0,4
iac_eval_0091,claude-4.5-sonnet,zero-shot,iac_eval,0.0,1
iac_eval_0092,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0093,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0094,claude-4.5-sonnet,zero-shot,iac_eval,0.4,5
iac_eval_0095,claude-4.5-sonnet,zero-shot,iac_eval,0.6666666666666666,3
iac_eval_0097,claude-4.5-sonnet,zero-shot,iac_eval,0.0,1
iac_eval_0098,claude-4.5-sonnet,zero-shot,iac_eval,1.0,3
iac_eval_0099,claude-4.5-sonnet,zero-shot,iac_eval,0.0,2
iac_eval_0100,claude-4.5-sonnet,zero-shot,iac_eval,0.5,4
iac_eval_0101,claude-4.5-sonnet,zero-shot,iac_eval,0.5,4
iac_eval_0102,claude-4.5-sonnet,zero-shot,iac_eval,1.0,3
iac_eval_0103,claude-4.5-sonnet,zero-shot,iac_eval,1.0,3
iac_eval_0104,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0105,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0106,claude-4.5-sonnet,zero-shot,iac_eval,1.0,2
iac_eval_0107,claude-4.5-sonnet,zero-shot,iac_eval,0.5,2
iac_eval_0108,claude-4.5-sonnet,zero-shot,iac_eval,0.6,5
iac_eval_0109,claude-4.5-sonnet,zero-shot,iac_eval,0.6666666666666666,3
iac_eval_0110,claude-4.5-sonnet,zero-shot,iac_eval,0.5,2
iac_eval_0111,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0112,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0113,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0114,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0115,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0116,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0117,claude-4.5-sonnet,zero-shot,iac_eval,1.0,2
iac_eval_0118,claude-4.5-sonnet,zero-shot,iac_eval,1.0,2
iac_eval_0119,claude-4.5-sonnet,zero-shot,iac_eval,1.0,4
iac_eval_0120,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0121,claude-4.5-sonnet,zero-shot,iac_eval,0.5,2
iac_eval_0122,claude-4.5-sonnet,zero-shot,iac_eval,0.0,1
iac_eval_0123,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0127,claude-4.5-sonnet,zero-shot,iac_eval,1.0,4
iac_eval_0128,claude-4.5-sonnet,zero-shot,iac_eval,0.5,4
iac_eval_0136,claude-4.5-sonnet,zero-shot,iac_eval,0.0,1
iac_eval_0137,claude-4.5-sonnet,zero-shot,iac_eval,0.0,1
iac_eval_0138,claude-4.5-sonnet,zero-shot,iac_eval,0.0,1
iac_eval_0139,claude-4.5-sonnet,zero-shot,iac_eval,0.0,1
iac_eval_0140,claude-4.5-sonnet,zero-shot,iac_eval,0.0,1
iac_eval_0141,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0142,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0143,claude-4.5-sonnet,zero-shot,iac_eval,0.6666666666666666,3
iac_eval_0144,claude-4.5-sonnet,zero-shot,iac_eval,1.0,3
iac_eval_0145,claude-4.5-sonnet,zero-shot,iac_eval,1.0,2
iac_eval_0146,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0147,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0149,claude-4.5-sonnet,zero-shot,iac_eval,1.0,2
iac_eval_0150,claude-4.5-sonnet,zero-shot,iac_eval,0.0,2
iac_eval_0151,claude-4.5-sonnet,zero-shot,iac_eval,1.0,2
iac_eval_0152,claude-4.5-sonnet,zero-shot,iac_eval,1.0,2
iac_eval_0153,claude-4.5-sonnet,zero-shot,iac_eval,1.0,3
iac_eval_0154,claude-4.5-sonnet,zero-shot,iac_eval,0.0,1
iac_eval_0155,claude-4.5-sonnet,zero-shot,iac_eval,0.5,2
iac_eval_0156,claude-4.5-sonnet,zero-shot,iac_eval,0.3333333333333333,3
iac_eval_0157,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0158,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0159,claude-4.5-sonnet,zero-shot,iac_eval,0.0,1
iac_eval_0160,claude-4.5-sonnet,zero-shot,iac_eval,0.0,1
iac_eval_0162,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0163,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0164,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0165,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0166,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0167,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0170,claude-4.5-sonnet,zero-shot,iac_eval,0.0,1
iac_eval_0171,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0172,claude-4.5-sonnet,zero-shot,iac_eval,1.0,2
iac_eval_0185,claude-4.5-sonnet,zero-shot,iac_eval,1.0,2
iac_eval_0188,claude-4.5-sonnet,zero-shot,iac_eval,1.0,4
iac_eval_0189,claude-4.5-sonnet,zero-shot,iac_eval,0.5,4
iac_eval_0196,claude-4.5-sonnet,zero-shot,iac_eval,0.0,1
iac_eval_0198,claude-4.5-sonnet,zero-shot,iac_eval,0.0,1
iac_eval_0200,claude-4.5-sonnet,zero-shot,iac_eval,1.0,2
iac_eval_0201,claude-4.5-sonnet,zero-shot,iac_eval,1.0,2
iac_eval_0202,claude-4.5-sonnet,zero-shot,iac_eval,1.0,2
iac_eval_0203,claude-4.5-sonnet,zero-shot,iac_eval,0.4,5
iac_eval_0204,claude-4.5-sonnet,zero-shot,iac_eval,0.4,5
iac_eval_0205,claude-4.5-sonnet,zero-shot,iac_eval,0.4,5
iac_eval_0206,claude-4.5-sonnet,zero-shot,iac_eval,0.6666666666666666,3
iac_eval_0207,claude-4.5-sonnet,zero-shot,iac_eval,0.42857142857142855,7
iac_eval_0208,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0209,claude-4.5-sonnet,zero-shot,iac_eval,0.6666666666666666,3
iac_eval_0210,claude-4.5-sonnet,zero-shot,iac_eval,0.6666666666666666,3
iac_eval_0211,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0212,claude-4.5-sonnet,zero-shot,iac_eval,0.4444444444444444,18
iac_eval_0213,claude-4.5-sonnet,zero-shot,iac_eval,0.6666666666666666,6
iac_eval_0214,claude-4.5-sonnet,zero-shot,iac_eval,0.5238095238095238,21
iac_eval_0215,claude-4.5-sonnet,zero-shot,iac_eval,0.0,1
iac_eval_0216,claude-4.5-sonnet,zero-shot,iac_eval,0.0,1
iac_eval_0217,claude-4.5-sonnet,zero-shot,iac_eval,0.5,2
iac_eval_0218,claude-4.5-sonnet,zero-shot,iac_eval,1.0,4
iac_eval_0219,claude-4.5-sonnet,zero-shot,iac_eval,1.0,2
iac_eval_0220,claude-4.5-sonnet,zero-shot,iac_eval,1.0,2
iac_eval_0221,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0222,claude-4.5-sonnet,zero-shot,iac_eval,0.6,5
iac_eval_0223,claude-4.5-sonnet,zero-shot,iac_eval,0.6666666666666666,3
iac_eval_0224,claude-4.5-sonnet,zero-shot,iac_eval,0.0,5
iac_eval_0225,claude-4.5-sonnet,zero-shot,iac_eval,1.0,3
iac_eval_0228,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0229,claude-4.5-sonnet,zero-shot,iac_eval,0.5,2
iac_eval_0230,claude-4.5-sonnet,zero-shot,iac_eval,0.75,4
iac_eval_0231,claude-4.5-sonnet,zero-shot,iac_eval,0.6666666666666666,3
iac_eval_0232,claude-4.5-sonnet,zero-shot,iac_eval,0.3333333333333333,3
iac_eval_0233,claude-4.5-sonnet,zero-shot,iac_eval,1.0,3
iac_eval_0234,claude-4.5-sonnet,zero-shot,iac_eval,1.0,3
iac_eval_0235,claude-4.5-sonnet,zero-shot,iac_eval,1.0,3
